Tweet_Tidspunkt;Forventet_Avkastning;Faktisk_Avkastning;Unormal_Avkastning;Total_Unormal_Avkastning;Lopenummer;Text;Rank
2014-12-19 09:40:00 UTC;9,30393E-05;0,001879862;0,001786822;-0,005399759;2;pack swap now operating in limited beta mode for sf to la route. can swap battery faster than visiting a gas station. tesla blog out soon.;1
2015-01-23 10:40:00 UTC;0,000371562;-0,000892724;-0,001264287;-0,004429064;2;@elonmusk ... in honor of imb, rip.;-1
2015-03-30 10:35:00 UTC;0,000233014;0,008158445;0,007925431;0,028141331;2;major new tesla product line -- not a car -- will be unveiled at our hawthorne design studio on thurs 8pm, april 30;1
2015-04-06 10:17:00 UTC;0,000169453;-0,001507906;-0,001677358;-0,0050945;2;welcome @chiefboltkennyh to @teslamotors. he will apply formula 1 techniques to revolutionize servicing mainstream cars.;-1
2015-06-23 09:20:00 UTC;-0,000311338;-0,002191723;-0,001880385;0,003000194;2;important to note that model s resale value is also higher than that of gasoline cars;-1
2015-07-17 09:30:00 UTC;0,000203024;0,001962167;0,001759143;0,000874892;2;model s product call at 11 today. rocket discussion at noon on monday.;1
2016-02-23 14:48:00 UTC;-0,001035659;0,003361348;0,004397007;0,004273077;2;@romclocko @teslamotors coming later this year;1
2016-04-01 10:11:00 UTC;-0,000316937;0,005805422;0,006122359;-0,002198062;2;model 3 orders at 180,000 in 24 hours. selling price w avg option mix prob $42k, so ~$7.5b in a day. future of electric cars looking bright!;1
2016-04-01 11:23:00 UTC;0,000246463;-0,002597048;-0,002843511;0,003401984;2;thought it would slow way down today, but model 3 order count is now at 198k. recommend ordering soon, as the wait time is growing rapidly.;-1
2016-04-01 12:38:00 UTC;-0,000797002;0,001341931;0,002138933;0,007768298;2;@alyssa_milano hi alyssa, thanks for placing your faith in tesla. i hope you have a great experience with the car.;1
2016-04-29 13:13:00 UTC;2,03447E-05;0,001357171;0,001336826;0,002634409;2;"@erothenberg simple answer is that there just aren't many used teslas available. demand &gt;&gt; supply.";1
2016-05-18 13:00:00 UTC;-0,000283996;0,001219227;0,001503223;0,004117128;2;@jlgolson yes, but it is false of merc news to say that tesla took advantage of low cost labor. we paid $55/hr. that is unequivocal.;1
2016-06-10 11:04:00 UTC;-0,000180833;-0,001286061;-0,001105228;-0,00136706;2;nice comment about the model s by cvk on @topgear_bbca {url};-1
2016-07-05 09:26:00 UTC;0,000424006;-0,000479553;-0,000903559;-0,003711001;2;@alansmurray yes, it was material to you -- bs article increased your advertising revenue. just wasn't material to tsla, as shown by market.;-1
2016-07-20 13:07:00 UTC;-0,000108197;0,001179531;0,001287728;0,004146381;2;post should go live on tesla website around 5pm;1
2016-08-23 09:23:00 UTC;0,000245395;0,002084215;0,00183882;0,012974948;2;tesla product announcement at noon california time today;1
2016-09-21 08:32:00 UTC;-0,000269377;0,001212475;0,001481852;0,000648973;2;"tesla keeps temp below 40c/105f by automatically venting cabin &amp; turning on ac when needed. can do this for up to a year on a full charge.";1
2016-09-21 09:58:00 UTC;-0,000131318;-0,001237436;-0,001106118;0,001002136;2;@notch also, the tesla is poison free!;-1
2016-10-19 11:29:00 UTC;0,000963821;-0,001724694;-0,002688514;-0,003797355;2;"tesla announcement goes live at 5pm california time. 30 minutes of media q&amp;a to follow.";-1
2016-10-19 13:24:00 UTC;-0,000668293;-0,005433316;-0,004765023;0,005727661;2;@elonmusk this is also what i was alluding to by model 3 part 2;-1
2016-11-04 10:05:00 UTC;0,000533051;-0,000466139;-0,00099919;-0,006373591;2;i highly recommend the new all glass roof on the model s. this was very hard to develop, but it makes the interior feel amazing. {url};-1
2017-02-07 09:00:00 UTC;-3,76157E-05;-0,0009265;-0,000888884;-0,002919387;2;production tesla model s p100dl sets motor trend all-time world record to 60 mph in 2.27 sec {url};-1
2017-03-24 09:17:00 UTC;0,000687475;0,003011928;0,002324453;-0,008537974;2;"am noticing that many people think model 3 is the ""next version"" of a tesla, like iphone 2 vs 3. this is not true.";1
2017-03-24 09:26:00 UTC;2,89682E-05;-0,000887798;-0,000916766;-0,000521566;2;model 3 was going to be called model e, for obvious dumb humor reasons, but ford sued to block it, so now it is s3x. totally different :);-1
2017-03-24 09:28:00 UTC;-0,00021306;0,002474645;0,002687705;0,003830074;2;@luciojr all tesla cars built since oct last year will be capable of self-driving as software improves;1
2017-03-24 09:30:00 UTC;-0,000986807;0,000996143;0,00198295;0,010105918;2;@varunfatehpuria oh model y is coming too in a few years. kinda have to.;1
2017-03-24 09:41:00 UTC;-0,000115982;0,001226575;0,001342558;0,003202134;2;@fredericlambert @jimpengelly no, we are minimizing configuration complexity to keep the production ramp on schedule. rwd only for early production, just like model s.;1
2017-03-24 10:09:00 UTC;-7,77081E-05;-0,001158351;-0,001080643;0,001381824;2;@camkode the model s produced today is arguably version 4. let me put it this way: it is the car i will keep driving even after model 3 arrives.;-1
2017-04-12 13:20:00 UTC;-0,000703281;0,001936255;0,002639536;0,007168892;2;autolist survey finds tesla used car values are highest and sell fastest {url};1
2017-04-13 11:51:00 UTC;-6,0202E-05;0,003374221;0,003434423;0,013141088;2;tesla semi truck unveil set for september. team has done an amazing job. seriously next level.;1
2017-05-10 13:44:00 UTC;0,000354331;-0,000647061;-0,001001392;-0,001031393;2;slo-mo hail cannonball impacting tesla solar roof tile {url};-1
2017-06-05 11:39:00 UTC;0,000478567;-0,000777978;-0,001256545;-0,005742528;2;@rolandscahill @teslamotors wearing anything at all is just a conspiracy by the capitalist running dogs of big underwear;-1
2017-06-05 11:44:00 UTC;-0,000234863;0,001052046;0,001286909;0,000916863;2;@thestaceyroy @teslamotors california cabernet;1
2017-06-08 13:08:00 UTC;-0,000509643;0,000518064;0,001027707;0,009955184;2;@philwhln it's on the car. might add it to the tesla app at some point, so you get it on your phone if you have a powerwall or tesla solar.;1
2017-07-17 13:12:00 UTC;9,74094E-05;-0,000909219;-0,001006628;-0,002195038;2;"i should clarify: tesla stock is obviously high based on past &amp; present, but low if you believe in tesla's future. place bets accordingly âÄ_ {url}";-1
2017-10-12 10:40:00 UTC;-0,000565209;0,000448475;0,001013683;0,005484408;2;"@barnacules to be more inclusive, how about a ""pick your tech level"" setting. could make the tesla sound like horses (coconuts!), chariots, steam engines, gasoline cars, ...";1
2017-12-21 09:34:00 UTC;-8,01018E-05;0,001262245;0,001342347;0,003207571;2;glad to see that tesla owners are having a good experience. working to improve further. some cool software updates coming soon. {url};1
2017-12-26 11:46:00 UTC;0,000500079;-0,000360591;-0,000860669;-0,005562829;2;"wanted again to send a note of deep gratitude to tesla owners ww for taking a chance on a new company that all experts said would fail. 

so much blood, sweat &amp; tears from the tesla team went into creating cars that youâÄôd truly love. i hope you do.

how can we improve further?";-1
2018-02-02 11:44:00 UTC;0,00045117;-0,00072187;-0,00117304;-0,004252245;2;@theteslashow early access build and especially dev build are feature-rich, but the features arenâÄôt reliable enough yet;-1
2018-04-02 12:37:00 UTC;0,000705081;-0,001946542;-0,002651623;-0,010796756;2;"@teslamotorsclub lot of respect for ntsb, but nhtsa regulates cars, not ntsb, which is an advisory body. tesla releases critical crash data affecting public safety immediately &amp; always will. to do otherwise would be unsafe.";-1
2018-04-02 12:52:00 UTC;0,00131778;0,000200138;-0,001117642;-0,019523308;2;@omarhoryy @teslamotorsclub seriously! obviously, iâÄôm not going to do an april foolâÄôs joke about going bankwupt if i thought there was any chance it would actually happen (sigh).;-1
2018-04-02 13:03:00 UTC;-8,89732E-05;-0,002938596;-0,002849623;0,004008752;2;"@wsj tesla policy is to issue a recall *before* there are injuries. this is absolutely the right thing to do. yet there were dozens of recalls by other car companies last month, incl w injuries &amp; deaths, but you only wrote an article about tesla. why so?";-1
2018-04-02 13:10:00 UTC;0,000522015;-0,000556081;-0,001078096;-0,002051791;2;@nocerabv @wsj @tesla not criticizing, just as asking questions. iâÄôm sure thereâÄôs a really great answer âÄ_;-1
2018-04-04 11:16:00 UTC;0,000519482;-0,003668739;-0,004188221;-0,016777962;2;"most people donâÄôt know thereâÄôs a whole box of easter eggs with every tesla. just tap logo on center screen &amp; wait. easy access to most of discovered ones. more coming âÄ_";-1
2018-05-11 10:40:00 UTC;0,000112552;-0,00093606;-0,001048612;-0,00272744;2;"@dmc_ryan tesla will enable orders end of next week for dual motor awd &amp; performance. starting production of those in july. air suspension prob next year.";-1
2018-05-14 13:00:00 UTC;-0,000577531;0,001421153;0,001998684;0,006611468;2;@techmeme @timkhiggins this is false. eyetracking rejected for being ineffective, not for cost. wsj fails to mention that tesla is safest car on road, which would make article ridiculous. approx 4x better than avg.;1
2018-05-14 13:40:00 UTC;-0,000333248;0,000841911;0,001175159;0,004117322;2;@talktesla @techmeme @timkhiggins according to nhtsa, there was an automotive fatality every 86m miles in 2017 (~40,000 deaths). tesla was every 320m miles. itâÄôs not possible to be zero, but probability of fatality is much lower in a tesla. we will be reporting updated safety numbers after each quarter.;1
2018-05-22 11:51:00 UTC;-4,48654E-05;0,000979416;0,001024281;-0,001337071;2;"@mikeyfranklin @dmatkins137 @shaynerarma @nasa more âÄúrevealâÄù bs. tesla is overseen by cal/osha, most stringent labor safety org in us, &amp; theyâÄôve never found us to misrepresent. on other hand, ford, chrysler &amp; gm (uaw) have repeatedly been found to fake safety numbers. strangely, that info is missing from reveal article âÄ_";1
2018-06-12 12:02:00 UTC;-0,001439047;-0,004462025;-0,003022978;0,004260906;2;difficult, but necessary tesla reorg underway. my email to the company has already leaked to media. here it is unfiltered: {url};-1
2018-06-22 12:11:00 UTC;0,000314682;-0,000856745;-0,001171427;-0,003120037;2;"@model3owners was thinking of offering an extended tesla factory tour option where you could help build part of a car &amp; understand how they come together. i know it would have been super fun for me when i was a kid (or now).";-1
2018-06-22 12:13:00 UTC;5,24141E-05;-0,000927847;-0,000980261;-0,001126979;2;@fredericlambert @model3owners that would be tricky to sequence, but maybe;-1
2018-06-26 11:21:00 UTC;-4,12689E-05;0,001147944;0,001189213;0,000408227;2;@justwidle2 @tesla then you will really hate that tesla scored 100/100 four years in a row on lgbtq equality {url};1
2018-06-26 12:30:00 UTC;0,000856885;0,002168102;0,001311217;-0,004003768;2;"the tesla truck will have dual motor all-wheel drive w crazy torque &amp; a suspension that dynamically adjusts for load. those will be standard.";1
2018-07-05 12:02:00 UTC;0,000901838;-0,002509083;-0,003410921;-0,018297489;2;@teslabull what a coincidence âÄ_;-1
2018-07-11 08:33:00 UTC;0,000455308;-0,001343752;-0,00179906;-0,007044949;2;@annerajb definitely. canâÄôt wait to try that. been a little distracted past few months on mostly tesla matters, but back at it soon.;-1
2018-07-27 12:38:00 UTC;0,000616601;-0,00265295;-0,00326955;-0,009927231;2;@phil_hellmuth @tesla thanks phil;-1
2018-08-07 10:48:00 UTC;0,000190198;0,01983416;0,019643961;0,015325484;2;am considering taking tesla private at $420. funding secured.;1
2018-08-07 11:15:00 UTC;0,001568288;0,004597045;0,003028757;-0,031887261;2;@lizclaman @tesla 420;1
2018-08-22 09:15:00 UTC;-0,000531056;0,001390157;0,001921212;0,011650876;2;@teslatunity @tesla coming soon;1
2018-09-14 08:42:00 UTC;0,00026599;0,001890949;0,001624959;-0,000782696;2;@mcwm the muskrat is like a beaver with small ideas, but it has a certain quiet dignity âÄ_;1
2018-09-14 09:56:00 UTC;-7,88688E-05;-0,001508453;-0,001429584;-0,003115489;2;@joannmuller @alanohnsman @forbes the tesla board has done incredible work overseeing the largest value creation in the auto industry in 100+ years, despite many setbacks. tesla owes its very existence to this board!;-1
2018-09-20 11:44:00 UTC;-0,000307106;-0,001553986;-0,00124688;0,008499138;2;tesla piece on the physics of car safety coming soon for those interested in technical details;-1
2018-09-20 12:26:00 UTC;-0,000569436;0,000836407;0,001405844;0,008447462;2;"@lanceulanoff key technical point is that the polar moment of inertia (concentration of mass around center) of a tesla, to the extent of our knowledge, is better than any other production car. this positively affects safety, handling &amp; driving feel. extremely important metric.";1
2018-10-12 10:39:00 UTC;-0,000710444;0,000869789;0,001580233;0,003223128;2;teslaquila coming soon âÄ_;1
2018-10-12 12:03:00 UTC;-0,000667066;0,000626255;0,001293321;0,005949565;2;tesla exists to help reduce risk of catastrophic climate change, which affects all species on earth. even if your faith in humanity is faltering, this is worth caring about. support makes a difference. thank you.;1
2018-10-15 10:44:00 UTC;-0,00049431;0,001029037;0,001523347;0,005682228;2;@alguiretim @tesla haha. it is actually my fav game on tesla cars right now _üòÄ;1
2018-10-26 11:29:00 UTC;-0,001052948;-0,003510876;-0,002457927;0,001346766;2;@rstefani11 @tesla taking action. tesla body shops now operating in california aiming for same day body repair in most cases.;-1
2018-10-26 12:02:00 UTC;-0,011002039;-0,008809437;0,002192602;0,092968108;2;@mcjamez @tesla clearly, youâÄôre not reading my twitter;1
2018-11-09 11:41:00 UTC;0,000235747;-0,001759211;-0,001994958;-0,001006251;2;@tizmagik @teslasupport fair point, will reenable;-1
2018-11-14 09:46:00 UTC;-0,000418484;0,001208166;0,00162665;0,000905539;2;@nichegamer would be fun to add to tesla;1
2018-11-15 11:27:00 UTC;-0,000348838;0,00135256;0,001701398;0,004857106;2;tesla just acquired trucking capacity to ensure model 3 can be delivered in us by dec 31 if ordered by nov 30 {url};1
2018-11-19 09:00:00 UTC;0,001869144;-0,000923975;-0,002793119;-0,023528086;2;@lion_lifer tesla can provide heating/cooling/lights/music for days using battery;-1
2018-11-21 09:43:00 UTC;-8,78993E-05;-0,002300351;-0,002212452;-0,006896138;2;@speceye @tesla coming soon;-1
2018-11-21 09:57:00 UTC;-0,001312397;0,000292761;0,001605158;0,016926761;2;@fredericlambert @speceye @tesla good idea;1
2018-11-29 12:51:00 UTC;3,7126E-05;-0,000931569;-0,000968695;-0,000808443;2;after safety, our goal is to make a tesla the most fun you could possibly have in a car;-1
2018-12-12 08:47:00 UTC;0,000953112;0,003010449;0,002057337;-0,00123523;2;@john_papa @tesla you should def have a loaner. will take care of it.;1
2018-12-18 09:17:00 UTC;9,47203E-05;-0,002294063;-0,002388783;-0,004336837;2;"honored to work with amazing teams at spacex &amp; tesla!";-1
2018-12-19 13:54:00 UTC;-0,001235807;-0,002209946;-0,000974138;-0,008809244;2;@ecoheliguy @erdayastronaut @martinengwicht @realkrauswife @tesla autopilot doesnâÄôt need the guide wheels. theyâÄôre only there if there is a complete system failure. turns will definitely be banked in future.;-1
2018-12-26 13:09:00 UTC;-0,000515523;0,003342767;0,003858289;0,006474471;2;and, because electricity costs much less than gasoline, a model 3 can cost about $1000 less per year to operate. because itâÄôs electric, there are no oil changes, smog checks, tuneups, fuel filter, or brake pad replacements.;1
2018-12-26 13:23:00 UTC;0,000604966;0,001606697;0,001001731;0,001573042;2;"most importantly, every electric car, tesla or otherwise, matters to the environment we all share. every time someone chooses electric, the future gets a little bit brighter!

if not tesla, please take a look at these other options:
{url}";1
2019-01-03 12:30:00 UTC;-2,49563E-05;0,001107685;0,001132641;0,000982729;2;@minliangtan @c4mer0n @burnflare @kroegerove sounds great, will connect you with tesla energy;1
2019-01-03 14:09:00 UTC;0,000125039;-0,000763868;-0,000888907;0,003816162;2;@charliemilton @reuters @breakingviews @tesla weirdly, all the negative press seems to increase sales!;-1
2019-01-23 08:53:00 UTC;-0,000210476;0,001763824;0,001974301;0,002900251;2;@teslarati 310s stainless is better for high temp outer skin, as it can take ~1450 kelvin, so active cooling with cryogenic fuel only has to mitigate 300 degrees of delta temp;1
2019-01-23 09:09:00 UTC;-0,000827101;0,003283446;0,004110547;0,011791109;2;@teslarati ~1750k is peak heating expected on about 20% of starship for leo entry, ~1600k on 20%. rest drops below 1450k, so no heat shield needed. radiative cooling at t^4 takes care of 60% of the ship. another reason for steel.;1
2019-02-13 11:30:00 UTC;-7,32029E-06;-0,001890882;-0,001883561;-0,002693659;2;tesla model x first suv to receive a perfect crash test rating {url} via @businessinsider;-1
2019-03-07 13:05:00 UTC;-0,001084677;0,000432837;0,001517514;0,007958916;2;"@copticchad @erdayastronaut @privater @marc_benton @teslatunity @model3owners @tesla net power to warm pack is especially low when motors are running, as coolant loop routes motor heat to the pack when outside is cold (&amp; rejects motor heat to air when outside is warm)";1
2019-04-12 09:08:00 UTC;-0,000532325;0,000936157;0,001468482;0,003281701;2;@28delayslater @tesla @mayemusk good point;1
2019-04-12 12:12:00 UTC;-5,04555E-05;0,001042718;0,001093173;0,001138189;2;@dirtnapdragon @tesla so if we raise prices in the future, will you cut tesla a check? canâÄôt have it both ways.;1
2019-04-25 11:44:00 UTC;-0,00047452;0,001761762;0,002236282;0,002346709;2;"uk model 3 order page goes live next week, followed shortly thereafter by japan, australia, new zealand &amp; hong kong";1
2019-04-26 11:04:00 UTC;0,000297594;-0,002381257;-0,00267885;-0,005991432;2;"@insideevs great work by tesla china team &amp; supporting contractors!";-1
2019-05-07 12:05:00 UTC;-9,09957E-05;-0,00105133;-0,000960334;0,000490668;2;"@tesla also, blood, gandalf the grey &amp; superdraco";-1
2019-05-09 09:51:00 UTC;0,000904499;-0,001141343;-0,002045841;-0,007756578;2;@tesla heâÄôs just kidding, folks, but best to turn car off just in case. also 2001 was 18 years ago.;-1
2019-05-09 09:57:00 UTC;0,000406391;-0,001406698;-0,001813089;-0,00838293;2;@realhayman @tesla just behind the glovebox, which is, presumably, where the gloves are;-1
2019-05-09 09:59:00 UTC;0,00086139;0;-0,00086139;-0,011302086;2;@baaldrogo @tesla probably shouldnâÄôt have called holding company cyberdyne systems _üòî;-1
2019-05-17 12:50:00 UTC;-0,000265987;0,001526419;0,001792406;0,002477876;2;"this is why we put extra filters in all tesla cars. s &amp; x even have hospital operating room grade hepa filters.";1
2019-05-22 10:42:00 UTC;0,000312809;0,002752408;0,002439599;-0,000146428;2;@teslainventory coming soon;1
2019-05-29 10:29:00 UTC;-0,000186318;0,001936186;0,002122505;0,005032072;2;@dealer_of_happy @tesla one dayâÄôs grace, taking into account time zone confusion. will revert tomorrow.;1
2019-06-03 12:55:00 UTC;0,000170838;-0,00087843;-0,001049268;-0,004185688;2;@teslarati only cars made in china are eligible for these subsidies. tesla has never had access to them.;-1
2019-06-04 12:09:00 UTC;-0,000584919;0,000625034;0,001209953;0,002718633;2;"@uzakbaydaniyar tesla superchargers &amp; service centers coming to kazakhstan this year";1
2019-06-18 13:19:00 UTC;0,000177489;-0,000708734;-0,000886223;-0,000496097;2;@teslatn @28delayslater @cnbc _ü_£_ü_£;-1
