Tweet_Tidspunkt,Forventet_Avkastning,Faktisk_Avkastning,Unormal_Avkastning,Lopenummer,Text,Rank
2013-05-07 09:42:00 UTC,"-0,00051042","-0,00393137","-0,003420951",1,tesla priority is electrification of cars so priority is model s model x then mass market third gen vehicle amp truck,-1
2013-05-09 09:24:00 UTC,"0,000401715","-0,000154867","-0,000556582",1,there is a way for the tesla model s to be recharged throughout the country faster than you could fill a gas tank,0
2013-05-13 13:33:00 UTC,"0,000165405","0,00306775","0,002902346",1,vicorly yes usually several times more energy over the course of the year than is needed by the model s,0
2013-05-30 12:47:00 UTC,"-0,000473458","0,001294461","0,001767919",1,huge expansion of tesla supercharger network underway will cover la to ny by end of year ,0
2013-06-18 08:57:00 UTC,"0,000140055","0,000684799","0,000544744",1,zatulsky shai actually got the idea from a visit to tesla the idea is obvious many things allow battery swap but the technology is not,0
2013-06-21 10:34:00 UTC,"-0,000191736","-0,001827792","-0,001636056",1,lisaroutel the ny auto dealers lost in court so now they are funding a bill in ny legislature to block tesla,0
2013-06-25 09:56:00 UTC,"0,000180758","0,000487301","0,000306543",1,arthurblake tesla service can do coating or can be done by any auto glass coating company my car is done on side amp rear,0
2013-07-02 12:47:00 UTC,"-0,00015344","0,001976412","0,002129853",1,woohoo tesla direct sales petition passed the 100k threshold thanks a lot to everyone that helped,0
2013-07-23 13:02:00 UTC,"-3,30124E-05","0,002593355","0,002626367",1,oh yeah well tesla will study a plan to study the gm team thats studying tesla so there ,0
2013-09-06 13:25:00 UTC,"-8,42617E-06","0,000161098","0,000169525",1,video review of model s vs aston martin rapide s by autocar ,0
2013-10-30 09:47:00 UTC,"9,47279E-05","0,001958927","0,001864199",1,tesla west coast supercharger network now energized travel from vancouver to tijuana in styel ,0
2013-11-19 08:50:00 UTC,"0,002414999","0,00365622","0,001241221",1,why does a tesla fire w no injury get more media headlines than 100000 gas car fires that kill 100s of people per year,0
2013-11-19 10:30:00 UTC,"0,000237382","0,000553592","0,00031621",1,what makes this incredibly unjust is that the model s to date has the best safety record of any car on the road no injuries or deaths ever,0
2013-11-19 11:28:00 UTC,"-0,000349993","0,001727954","0,002077947",1,tesla is also extending the model s warranty to cover any fire damage even if due solely to a driver accident,0
2013-11-21 13:17:00 UTC,"8,11935E-05","-0,000406469","-0,000487662",1,tesla model s consumer reports customer satisfaction survey highest of any car on road at 99100 ,0
2014-01-23 14:40:00 UTC,"4,76134E-05","-0,000840686","-0,000888299",1,tesla policy is to charge the same price  taxes amp shipping everywhere in the world ,0
2014-02-07 11:54:00 UTC,"0,000350059","0,001779359","0,0014293",1,value is holding up tesla car is worth more used than new  mnn  ,0
2014-02-25 12:39:00 UTC,"-0,000391834","-0,000474066","-8,22311E-05",1,model s receives highest customer satisfaction score of any car ever surveyed by consumer reports ,0
2014-03-11 10:23:00 UTC,"1,3231E-05","0,001353788","0,001340557",1,new jersey auto dealers subverting democratic process to try to block tesla sales ,0
2014-03-14 13:35:00 UTC,"-0,000104592","-0,000390556","-0,000285964",1,working on a model s environmental impact blog this weekend to counteract bs like the bloomberg graphite story beyond ridiculous,0
2014-04-07 09:47:00 UTC,"0,000176044","-0,000576763","-0,000752807",1,bloomberg article today also has oddly false details i dont eat breakfast at tesla and drink coffee not juice,0
2014-04-08 09:30:00 UTC,"0,000161975","0,000224354","6,23785E-05",1,tesla us business leasing program went live today ,0
2014-04-08 10:33:00 UTC,"0,00018865","-0,000745265","-0,000933916",1,leasing a model s takes 5 mins online no signatures amp one tap on car center screen to accept when delivered,0
2014-04-08 10:44:00 UTC,"9,14052E-05","-0,000544305","-0,00063571",1,elonmusk also breakfast at tesla is selfserve cereal no distinction for execs and the person mentioned isnt actually an employee,0
2014-06-12 11:02:00 UTC,"-0,000351315","-0,000676167","-0,000324852",1,regarding tesla patents ,0
2014-07-01 08:25:00 UTC,"-2,5173E-05","-0,000579053","-0,00055388",1,tesla model s named top model in perceived quality  via usatoday,0
2014-07-10 10:56:00 UTC,"-0,000174821","0,001085283","0,001260104",1,tesla superchargers delivered over 1gwh last month long distance driving growing exponentially ,0
2014-07-10 11:26:00 UTC,"9,9408E-05","0,000115106","1,5698E-05",1,leroytwin teslacanada a lot of canadian superchargers are in work and will start going live in the next month or so,0
2014-11-18 09:36:00 UTC,"-0,000103056","0,001125114","0,00122817",1,tesla comic book ,0
2014-11-19 08:59:00 UTC,"-0,000607038","0,002306483","0,002913521",1,rumors about canceling falcon wing doors are false at tesla the production car will always be better than the show car,0
